"methods","samples.a","samples.b","samples.g","samples.k"
"Euc. Summary",2.83499737605453,1.03473404546371,2.25611892911122,0.450896278569268
"Euc. Summary",3.02796766798271,0.915810676115854,2.25926015620103,0.537440125133176
"Euc. Summary",3.08439770679029,1.07654225809513,1.62519696654059,0.333268458449715
"Euc. Summary",2.99401640262743,0.972210897577825,1.68859912721683,0.583968081756385
"Euc. Summary",3.12203076150333,0.89300144702562,1.59498427629163,0.554960857423307
"Euc. Summary",2.97275457964529,1.06750694685596,2.80020608574336,0.56142934300256
"Euc. Summary",2.97275457964529,1.06750694685596,2.80020608574336,0.56142934300256
"Euc. Summary",3.06598458894707,0.994952064322726,1.94537830728714,0.589807454625161
"Euc. Summary",2.92040746733539,0.90348053999117,2.62721299186809,0.646925890682155
"Euc. Summary",2.93828282403107,0.933402479406158,2.29515089526746,0.704481139484061
"Euc. Summary",2.79832619035942,0.952738303206573,3.61964642778667,0.608089747950353
"Euc. Summary",2.79832619035942,0.952738303206573,3.61964642778667,0.608089747950353
"Euc. Summary",3.08441030634779,0.917330632506661,1.55598575079556,0.622006638155288
"Euc. Summary",2.94571610364321,0.84410707332366,3.24484418583951,0.548202735175006
"Euc. Summary",2.98774197562864,1.14184001633678,2.39745414333638,0.370878267847835
"Euc. Summary",3.00111499309227,0.935290410803064,1.9606427749091,0.595595790800869
"Euc. Summary",2.9715592713673,1.12736442785222,2.59128109572955,0.511495551429159
"Euc. Summary",2.92263841511408,1.03235407614952,2.23746063540088,0.485885517004211
"Euc. Summary",2.93767400048019,1.02808093775963,2.7886682897879,0.652401220175832
"Euc. Summary",2.93767400048019,1.02808093775963,2.7886682897879,0.652401220175832
"Euc. Summary",3.11116314492253,0.865144830966008,1.80327097892551,0.634606148621137
"Euc. Summary",2.98173131153904,1.09990911853173,2.84951564839916,0.383594355140089
"Euc. Summary",3.11116314492253,0.865144830966008,1.80327097892551,0.634606148621137
"Euc. Summary",3.07713427141808,0.748185121878821,2.04989147878366,0.651541192514114
"Euc. Summary",3.07713427141808,0.748185121878821,2.04989147878366,0.651541192514114
"Euc. Summary",2.92166967771582,1.05981038040066,2.10263091929871,0.460841338711971
"Euc. Summary",3.09887602556223,0.876237786098819,2.25791680547545,0.781988401129942
"Euc. Summary",2.87689750929346,1.04191846408679,1.76667442257836,0.47129469328693
"Euc. Summary",2.91505452127131,1.08808755951913,1.85661296358061,0.387245567718059
"Euc. Summary",2.91505452127131,1.08808755951913,1.85661296358061,0.387245567718059
"Euc. Summary",2.91088043415116,1.02521261959678,3.05770936739492,0.426876694277013
"Euc. Summary",2.76929925731174,1.02884095027235,2.41137182701705,0.443663098680877
"Euc. Summary",2.9903476445492,0.964148876813778,1.80735606657297,0.545698975082652
