"methods","samples.theta1","samples.theta2minus1","samples.theta3","samples.theta2"
"MMD",0.809780313922026,5.24092359337895,0.16403001188735,6.05070390730098
"MMD",0.664667463927544,5.57784985442045,0.192355792276842,6.242517318348
"MMD",0.424994097259638,5.37040193045189,0.240601500126207,5.79539602771153
"MMD",0.639231303945722,5.17718770206668,0.190761866095719,5.81641900601241
"MMD",0.81586228462382,5.66097871617296,0.161460828869978,6.47684100079678
"MMD",0.81586228462382,5.66097871617296,0.161460828869978,6.47684100079678
"MMD",0.523002198143195,4.95807806797382,0.169699863298568,5.48108026611702
"MMD",0.507514960109731,4.75097487023187,0.188573723420794,5.2584898303416
"MMD",0.407866640863143,5.03667290453122,0.174325212239116,5.44453954539437
"MMD",0.285510670362434,4.61804309306246,0.160222552211926,4.90355376342489
"MMD",0.285510670362434,4.61804309306246,0.160222552211926,4.90355376342489
"MMD",0.514286604984616,4.74109020375107,0.15547333407092,5.25537680873568
"MMD",0.588023293587656,5.38318732920865,0.202772450201754,5.9712106227963
"MMD",0.768949565507714,5.53753766945707,0.196447793412729,6.30648723496478
"MMD",0.857596073858687,3.87320941079684,0.148345233892339,4.73080548465553
"MMD",0.618192438405454,6.94286709962245,0.206696561869677,7.5610595380279
"MMD",0.491414877412481,5.85350212324994,0.180390869966526,6.34491700066242
"MMD",0.881766554944736,3.91747715461133,0.187475580670706,4.79924370955607
"MMD",0.948117866609453,3.09099982251889,0.184555972477508,4.03911768912835
"MMD",0.886940994479731,4.65386939456713,0.183737903653353,5.54081038904686
"MMD",0.948117866609453,3.09099982251889,0.184555972477508,4.03911768912835
"MMD",0.850475018375573,4.49624418187054,0.186387771243845,5.34671920024611
"MMD",0.832992212474951,5.18404274856716,0.165935960464024,6.01703496104211
"MMD",0.948117866609453,3.09099982251889,0.184555972477508,4.03911768912835
"MMD",0.754903578670684,5.16808256303016,0.194664133798948,5.92298614170084
"MMD",0.254684561056149,5.85951993455669,0.192532409315229,6.11420449561284
"MMD",0.858309999716809,3.97593671430764,0.179458509950668,4.83424671402444
"MMD",0.740976685711727,3.65666788222108,0.210130133520597,4.39764456793281
"MMD",0.785515853685769,5.72383619584435,0.190831216981494,6.50935204953011
"MMD",0.840930999709843,5.16488959646035,0.196506788467702,6.00582059617019
"MMD",0.195670369549412,4.80307616125761,0.16389016666792,4.99874653080702
"MMD",0.195670369549412,4.80307616125761,0.16389016666792,4.99874653080702
"MMD",0.195670369549412,4.80307616125761,0.16389016666792,4.99874653080702
"MMD",0.492376966739148,5.47214070652306,0.184541973703367,5.96451767326221
"MMD",0.889480492717773,3.8767962111001,0.181564268901261,4.76627670381787
"MMD",0.922530223628089,5.65895631396702,0.200175265429883,6.58148653759511
"MMD",0.141078322341236,6.30352220677573,0.172300400556972,6.44460052911697
"MMD",0.704738132609958,6.02358920400298,0.213689580948168,6.72832733661294
"MMD",0.36798744934624,5.59053460804999,0.208467525859541,5.95852205739623
"MMD",0.854497031030691,4.70243766288523,0.184361371870124,5.55693469391592
"MMD",0.823093827840453,5.32043616610517,0.187874337247914,6.14352999394563
"MMD",0.692059947453702,4.08961191975464,0.189376116397147,4.78167186720835
"MMD",0.768402314713637,3.90256435582402,0.173129912867642,4.67096667053766
"MMD",0.768402314713637,3.90256435582402,0.173129912867642,4.67096667053766
"MMD",0.343822484432436,6.42671886219131,0.215817125189216,6.77054134662374
"MMD",0.343822484432436,6.42671886219131,0.215817125189216,6.77054134662374
"MMD",0.921337200974863,4.46058335858904,0.195033126087789,5.3819205595639
"MMD",0.864539027622719,4.2688046189334,0.215279213254056,5.13334364655612
"MMD",0.862234404719851,3.56490963065487,0.166258443545662,4.42714403537473
"MMD",0.768402314713637,3.90256435582402,0.173129912867642,4.67096667053766
"MMD",0.652737346679085,5.43576574066966,0.177969682160582,6.08850308734875
"MMD",0.543035595873847,6.20214509750846,0.206931310701728,6.74518069338231
"MMD",0.93509416167182,4.20734419576513,0.195540303389053,5.14243835743695
"MMD",0.699112448534952,4.5246501692355,0.158637988106824,5.22376261777045
"MMD",0.379132727998905,5.50735842617174,0.197369636937059,5.88649115417065
"MMD",0.377449595298729,6.35749889645832,0.196827722814638,6.73494849175705
"MMD",0.752351602436203,4.00727482342635,0.173826102490289,4.75962642586256
"MMD",0.377449595298729,6.35749889645832,0.196827722814638,6.73494849175705
"MMD",0.160917512494028,5.42296244095182,0.166190485827503,5.58387995344585
"MMD",0.231440164872833,6.1932231036482,0.192067545887198,6.42466326852103
"MMD",0.953550648574498,5.8448375585695,0.20129499170897,6.798388207144
"MMD",0.953550648574498,5.8448375585695,0.20129499170897,6.798388207144
"MMD",0.953550648574498,5.8448375585695,0.20129499170897,6.798388207144
"MMD",0.585958868930508,4.45210352477341,0.182259522530047,5.03806239370392
"MMD",0.585958868930508,4.45210352477341,0.182259522530047,5.03806239370392
"MMD",0.701822151854201,4.57111343020907,0.172298600683109,5.27293558206327
"MMD",0.168052880354107,5.98968669527255,0.203828853421956,6.15773957562665
"MMD",0.90344044065103,4.67825251927655,0.204337799649824,5.58169295992758
"MMD",0.168052880354107,5.98968669527255,0.203828853421956,6.15773957562665
"MMD",0.168052880354107,5.98968669527255,0.203828853421956,6.15773957562665
"MMD",0.635945805483063,5.29887522760593,0.224357353993655,5.93482103308899
"MMD",0.951130761462246,4.63979007636955,0.20134673213051,5.59092083783179
"MMD",0.471202706024592,5.09781774704262,0.178814644788762,5.56902045306721
"MMD",0.720823892636597,6.06891121395248,0.181601225036927,6.78973510658907
"MMD",0.811758057173242,5.55566235311533,0.168952265521785,6.36742041028857
"MMD",0.925174403563773,3.68847690269064,0.191540718570313,4.61365130625441
"MMD",0.32408453481667,6.03587415732052,0.183202137314392,6.35995869213719
"MMD",0.549655344407119,4.43812519254559,0.15167497336473,4.9877805369527
"MMD",0.529043305796966,4.68477480045346,0.196065872645581,5.21381810625042
"MMD",0.541432463326391,5.25557559513263,0.217559889867443,5.79700805845902
"MMD",0.35297979954319,5.65539665297063,0.181167883276194,6.00837645251382
"MMD",0.904983303207872,5.41955896365497,0.220506114801105,6.32454226686284
"MMD",0.490611611391393,4.81750088971295,0.208952410159005,5.30811250110435
"MMD",0.825568240628561,6.14201720417031,0.178133410810006,6.96758544479887
"MMD",0.56066666542314,5.8942204653432,0.172190966629459,6.45488713076634
"MMD",0.742018867430608,5.59468056978595,0.203133837893736,6.33669943721656
"MMD",0.197898702362314,5.10591504249395,0.2043375275179,5.30381374485626
"MMD",0.191598857284761,6.63260638678617,0.169281000731581,6.82420524407093
"MMD",0.209694566188711,5.58973438518889,0.180615202972608,5.7994289513776
"MMD",0.735958039070118,4.24374389036337,0.213932914664361,4.97970192943348
"MMD",0.696111523557084,5.23761239042927,0.205731461575645,5.93372391398636
"MMD",0.90656219298711,6.37111825231102,0.197225289133288,7.27768044529813
"MMD",0.281515337250029,4.72645012739626,0.189858342618264,5.00796546464629
"MMD",0.877285263264946,4.72755118900499,0.141340377700715,5.60483645226993
"MMD",0.877285263264946,4.72755118900499,0.141340377700715,5.60483645226993
"MMD",0.991683307353082,5.26135141527331,0.219412087444505,6.25303472262639
"MMD",0.701765272520226,5.94013439789909,0.226188520958992,6.64189967041932
"MMD",0.239408129546023,5.1198508679932,0.180016692111236,5.35925899753922
"MMD",0.529482246679481,4.50064119656169,0.190767894214184,5.03012344324117
"MMD",0.505537211227707,5.28205054510149,0.202529486415532,5.78758775632919
"MMD",0.80174979957218,5.75352363797005,0.177246108192529,6.55527343754223
"MMD",0.727625395101176,4.91442201289223,0.175613635081643,5.64204740799341
"MMD",0.60767028316257,4.96600058602909,0.233834998203144,5.57367086919166
"MMD",0.34509021337895,7.06906898702448,0.175032347010126,7.41415920040343
"MMD",0.610494819943167,5.03422167272571,0.175037725529387,5.64471649266888
"MMD",0.671310427663339,6.1702101558798,0.201473190056006,6.84152058354314
"MMD",0.873474233569513,4.30528463923721,0.243012630766859,5.17875887280672
"MMD",0.873474233569513,4.30528463923721,0.243012630766859,5.17875887280672
"MMD",0.873474233569513,4.30528463923721,0.243012630766859,5.17875887280672
"MMD",0.388012494279371,6.53769869165293,0.168803584196014,6.9257111859323
"MMD",0.388012494279371,6.53769869165293,0.168803584196014,6.9257111859323
"MMD",0.68321693912886,5.00754046929609,0.187206158629996,5.69075740842495
"MMD",0.68321693912886,5.00754046929609,0.187206158629996,5.69075740842495
"MMD",0.371480436071335,4.61939342884188,0.206707725129522,4.99087386491322
"MMD",0.0945905187562544,5.10237904636543,0.202639462940772,5.19696956512169
"MMD",0.0945905187562544,5.10237904636543,0.202639462940772,5.19696956512169
"MMD",0.840596523356056,5.11888876342382,0.175275761720982,5.95948528677988
"MMD",0.804381758326584,3.47583008917718,0.172802818482104,4.28021184750377
"MMD",0.591918651123688,6.34648202620475,0.158059989666152,6.93840067732844
"MMD",0.670248891903395,3.6073221431583,0.167212572562109,4.27757103506169
"MMD",0.159532717864224,5.35446278215586,0.180811818472669,5.51399550002008
"MMD",0.781820968103739,4.54178550107786,0.192020162663879,5.3236064691816
"MMD",0.935319713799051,3.30364932505221,0.181048228466296,4.23896903885126
"MMD",0.58230972604383,6.30474755116739,0.187347467750743,6.88705727721122
"MMD",0.775812828790708,6.14143692489196,0.20659119993009,6.91724975368266
"MMD",0.823581213736574,5.51177289794913,0.184958883566767,6.33535411168571
"MMD",0.707928286717154,5.62172328376077,0.202765704386737,6.32965157047792
"MMD",0.935693694975728,3.75512736374047,0.187961032787934,4.69082105871619
"MMD",0.994273733720808,4.04117188921381,0.199446569240977,5.03544562293461
"MMD",0.994273733720808,4.04117188921381,0.199446569240977,5.03544562293461
"MMD",0.933134662434299,5.01917696468819,0.175354671579672,5.95231162712249
"MMD",0.830535641733427,4.62528368736776,0.197681542069107,5.45581932910119
"MMD",0.988423934090367,4.99624232883187,0.187938311596715,5.98466626292224
"MMD",0.867451514514402,5.95783184921194,0.199991801997675,6.82528336372634
"MMD",0.855158699965167,5.34883041280217,0.210869530458111,6.20398911276734
"MMD",0.671815235836015,4.18429806747265,0.196665043590089,4.85611330330866
"MMD",0.267832322758601,5.71542591270081,0.201715447759702,5.98325823545941
"MMD",0.267832322758601,5.71542591270081,0.201715447759702,5.98325823545941
"MMD",0.811843139349547,6.00887968210123,0.179510203321628,6.82072282145078
"MMD",0.192926429610473,5.70075067487057,0.187829380438232,5.89367710448105
"MMD",0.619203249663743,6.58284814390307,0.169200618179184,7.20205139356681
"MMD",0.399918462388029,5.6510308113353,0.200887880186479,6.05094927372333
"MMD",0.714836836327727,5.11265756726965,0.201066054098512,5.82749440359738
"MMD",0.162070892900235,6.3131277203439,0.211005030544551,6.47519861324414
"MMD",0.162070892900235,6.3131277203439,0.211005030544551,6.47519861324414
"MMD",0.162070892900235,6.3131277203439,0.211005030544551,6.47519861324414
"MMD",0.76839398891201,4.01713469645296,0.194079300019828,4.78552868536497
"MMD",0.770521172401704,5.42368633353821,0.188215134871569,6.19420750593991
"MMD",0.927125304664406,5.9361848921967,0.174066370394105,6.86331019686111
"MMD",0.927125304664406,5.9361848921967,0.174066370394105,6.86331019686111
"MMD",0.927125304664406,5.9361848921967,0.174066370394105,6.86331019686111
"MMD",0.425371704974877,6.0540080479891,0.187584917040306,6.47937975296398
"MMD",0.73485931671053,4.77479557984982,0.240013755983798,5.50965489656035
"MMD",0.73485931671053,4.77479557984982,0.240013755983798,5.50965489656035
"MMD",0.73485931671053,4.77479557984982,0.240013755983798,5.50965489656035
"MMD",0.3025650960666,5.73581992874167,0.150978162890505,6.03838502480827
"MMD",0.501236729080519,4.14962033249026,0.182842447307644,4.65085706157078
"MMD",0.769192369315762,4.78347347161553,0.171816970270924,5.55266584093129
"MMD",0.113754140838501,6.48787397670208,0.158940633007219,6.60162811754058
"MMD",0.684435999310041,5.14158543652007,0.189624997215288,5.82602143583011
"MMD",0.462595048980266,6.09248832262415,0.1887453675355,6.55508337160442
"MMD",0.462595048980266,6.09248832262415,0.1887453675355,6.55508337160442
"MMD",0.941195665802404,4.59381415625747,0.196495487822357,5.53500982205987
"MMD",0.917489665960796,4.57122465478478,0.201882176522939,5.48871432074558
"MMD",0.359394974493203,6.63611775370678,0.183727586474791,6.99551272819998
"MMD",0.570175905729976,5.45646288415941,0.159169516429678,6.02663878988939
"MMD",0.878237020635198,4.00069137386047,0.204074734644381,4.87892839449567
"MMD",0.64190147156332,6.4979865381519,0.17910542403876,7.13988800971522
"MMD",0.493686069343875,5.16701186710609,0.182619313780659,5.66069793644996
"MMD",0.672224583855148,4.81607061258469,0.172183906457453,5.48829519643983
"MMD",0.990528895929781,5.06810660204852,0.191470583931555,6.0586354979783
"MMD",0.0707437516136563,5.43733890765556,0.172155023556852,5.50808265926922
"MMD",0.0707437516136563,5.43733890765556,0.172155023556852,5.50808265926922
"MMD",0.248926815589547,5.88978084113012,0.167570618620161,6.13870765671967
"MMD",0.602246461606529,5.19996966863283,0.162822600195417,5.80221613023936
"MMD",0.826048996037562,4.82922759383916,0.168115113741546,5.65527658987672
"MMD",0.379745646378113,5.17278519823468,0.206043868282847,5.55253084461279
"MMD",0.826894856354083,3.88402483719897,0.169699159163627,4.71091969355305
"MMD",0.608076986628681,3.90758314495721,0.189653742764938,4.51566013158589
"MMD",0.66736964838497,6.02456061233242,0.173498730431046,6.69193026071738
"MMD",0.66736964838497,6.02456061233242,0.173498730431046,6.69193026071738
"MMD",0.718705822946854,5.66525695722457,0.199998206466297,6.38396278017142
"MMD",0.656223674165657,5.59261743479511,0.152122710426591,6.24884110896077
"MMD",0.366391433140034,6.48543819127313,0.195041953164753,6.85182962441316
"MMD",0.346596212257967,4.83454832794294,0.151135545721183,5.18114454020091
"MMD",0.366391433140034,6.48543819127313,0.195041953164753,6.85182962441316
"MMD",0.442918312353147,4.53160191516754,0.17219009702909,4.97452022752069
"MMD",0.584582962840974,7.07824284682436,0.185020622938885,7.66282580966533
"MMD",0.813818269816177,5.38042362674596,0.166390575882614,6.19424189656214
"MMD",0.715380395678361,5.8438823516228,0.19767143896145,6.55926274730117
"MMD",0.943165953016453,6.21819634460044,0.219647881953856,7.1613622976169
"MMD",0.943165953016453,6.21819634460044,0.219647881953856,7.1613622976169
"MMD",0.943165953016453,6.21819634460044,0.219647881953856,7.1613622976169
"MMD",0.943165953016453,6.21819634460044,0.219647881953856,7.1613622976169
"MMD",0.943165953016453,6.21819634460044,0.219647881953856,7.1613622976169
"MMD",0.357183784318434,5.84954988895608,0.206014290937153,6.20673367327451
"MMD",0.299746500220795,5.44911540240505,0.170660883312589,5.74886190262584
"MMD",0.895784667688348,5.2890154752156,0.189548036598635,6.18480014290395
"MMD",0.163800153993124,4.95955110308948,0.17664415458236,5.1233512570826
"MMD",0.705240168272316,6.67238750609181,0.192453073059769,7.37762767436413
"MMD",0.139445506880236,5.27852471880446,0.19213224249399,5.4179702256847
"MMD",0.0808482219073644,5.79730688338898,0.174348043443327,5.87815510529634
"MMD",0.199537478231591,6.83126592930531,0.180718227729445,7.0308034075369
"MMD",0.438346070244202,4.93293409758015,0.175644317504299,5.37128016782436
"MMD",0.580218672553848,4.65276451377425,0.181086932452071,5.2329831863281
"MMD",0.852086693836854,4.38279777481406,0.203597125904333,5.23488446865091
"MMD",0.754690744204584,4.84651945542779,0.21286770986723,5.60121019963238
"MMD",0.705729593269665,5.2358149671602,0.225284733841832,5.94154456042987
"MMD",0.840815545411578,4.5421008024096,0.181103620609278,5.38291634782118
"MMD",0.168808474997853,6.25623741318449,0.190288533907051,6.42504588818234
"MMD",0.376455714341521,6.87581597508825,0.183163652305831,7.25227168942977
"MMD",0.809815104612933,3.82698582740141,0.206005690361052,4.63680093201434
"MMD",0.473152452886891,5.30100639318512,0.166790106448329,5.77415884607201
"MMD",0.860248375440336,3.35549589883179,0.179053224808938,4.21574427427213
"MMD",0.775152793765117,3.66312564678007,0.199681472374937,4.43827844054519
"MMD",0.867371781330065,5.46543641700069,0.177319012259102,6.33280819833075
"MMD",0.846844561043846,6.51406974229092,0.204781763695187,7.36091430333476
"MMD",0.769482978511769,6.34211785687334,0.159204765983816,7.11160083538511
"MMD",0.769482978511769,6.34211785687334,0.159204765983816,7.11160083538511
"MMD",0.273188374002129,4.80524933378354,0.215694253165158,5.07843770778567
"MMD",0.182218141785034,7.18046154713156,0.20923553372852,7.36267968891659
"MMD",0.814953023305543,5.065848381752,0.225792869788227,5.88080140505755
"MMD",0.14579075056113,6.96912247620575,0.173843529362918,7.11491322676688
"MMD",0.715526047270741,4.66759431600514,0.214304323930787,5.38312036327588
"MMD",0.358981022123572,4.3178682152414,0.171274055047699,4.67684923736497
"MMD",0.846274289556539,3.56402392907381,0.174227053359119,4.41029821863035
"MMD",0.953014432590621,5.31003326589629,0.169780161797562,6.26304769848691
"MMD",0.3831194078227,6.38283646227256,0.173153875841659,6.76595587009526
"MMD",0.3831194078227,6.38283646227256,0.173153875841659,6.76595587009526
"MMD",0.3831194078227,6.38283646227256,0.173153875841659,6.76595587009526
"MMD",0.645054458822696,5.3828590162274,0.219488755262032,6.0279134750501
"MMD",0.3831194078227,6.38283646227256,0.173153875841659,6.76595587009526
"MMD",0.952591733763373,5.29624419121723,0.163710778673885,6.24883592498061
"MMD",0.120712672308044,5.62030473698742,0.197173498487486,5.74101740929546
"MMD",0.120712672308044,5.62030473698742,0.197173498487486,5.74101740929546
"MMD",0.429535040035512,4.99335145467721,0.227114102615702,5.42288649471272
"MMD",0.429535040035512,4.99335145467721,0.227114102615702,5.42288649471272
"MMD",0.90654745788055,3.80681703498639,0.181124061206115,4.71336449286694
"MMD",0.429535040035512,4.99335145467721,0.227114102615702,5.42288649471272
"MMD",0.429535040035512,4.99335145467721,0.227114102615702,5.42288649471272
"MMD",0.429535040035512,4.99335145467721,0.227114102615702,5.42288649471272
"MMD",0.880889106056888,4.91905895086832,0.158074260084456,5.79994805692521
"MMD",0.377100902017337,6.06154536333321,0.178932340480634,6.43864626535054
"MMD",0.609204034194726,5.03973124007338,0.219505763688932,5.64893527426811
"MMD",0.679385397981228,3.54728702157772,0.225387185280444,4.22667241955895
"MMD",0.927235751749028,4.73824573857163,0.19070766042789,5.66548149032066
"MMD",0.946860793774923,4.41606402404223,0.174820465801943,5.36292481781715
"MMD",0.962636046664837,4.74058365213239,0.218835972211989,5.70321969879723
"MMD",0.8158914083596,4.0435005786816,0.168795740074369,4.8593919870412
"MMD",0.788632750015216,6.34478563382633,0.206669273522465,7.13341838384154
"MMD",0.734706103850072,4.97830524122357,0.175717033267913,5.71301134507364
"MMD",0.839742927432971,5.27142746606078,0.174987493466156,6.11117039349376
"MMD",0.69919681553729,4.73173974400597,0.185385010241196,5.43093655954326
"MMD",0.677331048846908,6.80400493907406,0.204549480188849,7.48133598792097
"MMD",0.288549859451334,6.02787822870294,0.213725421867395,6.31642808815427
"MMD",0.288549859451334,6.02787822870294,0.213725421867395,6.31642808815427
"MMD",0.857222015411269,5.59699997989199,0.194921290707729,6.45422199530326
"MMD",0.499258399425253,5.33272236764617,0.208099766571456,5.83198076707142
"MMD",0.499258399425253,5.33272236764617,0.208099766571456,5.83198076707142
"MMD",0.405817442655514,4.99133920681622,0.171466368785254,5.39715664947173
"MMD",0.730448269868518,4.00207246535902,0.226326048708277,4.73252073522754
"MMD",0.730448269868518,4.00207246535902,0.226326048708277,4.73252073522754
"MMD",0.785175851344448,3.07342584314599,0.224034126286741,3.85860169449044
"MMD",0.785175851344448,3.07342584314599,0.224034126286741,3.85860169449044
"MMD",0.785175851344448,3.07342584314599,0.224034126286741,3.85860169449044
"MMD",0.785175851344448,3.07342584314599,0.224034126286741,3.85860169449044
"MMD",0.785175851344448,3.07342584314599,0.224034126286741,3.85860169449044
"MMD",0.99120223659461,5.66350562056389,0.156474442667368,6.6547078571585
"MMD",0.959686842607002,5.40401176618989,0.177595041090581,6.36369860879689
"MMD",0.785175851344448,3.07342584314599,0.224034126286741,3.85860169449044
"MMD",0.785175851344448,3.07342584314599,0.224034126286741,3.85860169449044
"MMD",0.785175851344448,3.07342584314599,0.224034126286741,3.85860169449044
"MMD",0.885383056564035,4.40722894089966,0.182159581075704,5.2926119974637
"MMD",0.785175851344448,3.07342584314599,0.224034126286741,3.85860169449044
"MMD",0.785175851344448,3.07342584314599,0.224034126286741,3.85860169449044
"MMD",0.688831563062873,5.53402504199042,0.194404996307882,6.22285660505329
"MMD",0.996277673343863,4.76906694363129,0.169955845600026,5.76534461697515
"MMD",0.604368403426836,5.28016162283159,0.222373627362169,5.88453002625842
"MMD",0.842589245349022,4.22562787304654,0.185610277272469,5.06821711839556
"MMD",0.842851339572949,4.11089084318595,0.226147092951608,4.9537421827589
"MMD",0.923665872186849,3.83535423087551,0.187542736030613,4.75902010306236
"MMD",0.982364185255691,4.9569370226904,0.164653839221383,5.93930120794609
"MMD",0.982364185255691,4.9569370226904,0.164653839221383,5.93930120794609
"MMD",0.876395713842343,3.79648780930696,0.206800788356383,4.6728835231493
"MMD",0.736289430476104,6.81145131034997,0.240164751614344,7.54774074082608
"MMD",0.736289430476104,6.81145131034997,0.240164751614344,7.54774074082608
"MMD",0.386767794705382,4.8789097654205,0.200904008810589,5.26567756012589
"MMD",0.780924367921044,5.16584225039986,0.215307528788851,5.94676661832091
"MMD",0.780924367921044,5.16584225039986,0.215307528788851,5.94676661832091
"MMD",0.165485613422911,5.19330308783842,0.220563979504417,5.35878870126133
"MMD",0.449024705196258,6.41386474886562,0.201599115048961,6.86288945406188
"MMD",0.345734558795888,5.90137055224284,0.166739194566862,6.24710511103873
"MMD",0.494417564694,6.92804242542551,0.236364725430553,7.42245999011951
"MMD",0.918767728669117,5.25329649092331,0.210066406434124,6.17206421959242
"MMD",0.731995868468384,6.46772161407704,0.144387352811589,7.19971748254542
"MMD",0.972685947553628,6.63411944127365,0.161999735315985,7.60680538882728
"MMD",0.972685947553628,6.63411944127365,0.161999735315985,7.60680538882728
"MMD",0.238302870804978,5.91088610956292,0.154649223513657,6.1491889803679
"MMD",0.512722645075937,5.47554358983677,0.200553614152645,5.98826623491271
"MMD",0.297684900540479,6.72824442017435,0.174028625844779,7.02592932071483
"MMD",0.464333761340004,6.47156986649946,0.166800630663103,6.93590362783947
"MMD",0.938337478620809,4.74348564661269,0.166120913629898,5.6818231252335
"MMD",0.236295689618534,5.20719300412011,0.175132749249542,5.44348869373864
"MMD",0.534589656321427,4.5111968046626,0.198553293895245,5.04578646098403
"MMD",0.534589656321427,4.5111968046626,0.198553293895245,5.04578646098403
"MMD",0.454075788869684,5.78301210107669,0.20416833507664,6.23708788994638
"MMD",0.454075788869684,5.78301210107669,0.20416833507664,6.23708788994638
"MMD",0.689082862979825,4.83936110982042,0.180659770998935,5.52844397280025
"MMD",0.791134276245923,5.14443892265307,0.217044085211666,5.935573198899
"MMD",0.370234583350811,5.6577699180863,0.198526106826722,6.02800450143711
"MMD",0.379215889015778,5.62110946706351,0.202514900471587,6.00032535607929
"MMD",0.742622843938004,4.31561950361563,0.194205201169696,5.05824234755363
"MMD",0.649083164170427,5.06006481513218,0.191908137758339,5.70914797930261
"MMD",0.24295576587248,6.1475993809731,0.161556747138053,6.39055514684558
"MMD",0.489699279073285,5.08838263586613,0.196683478783304,5.57808191493941
"MMD",0.93006173693505,4.76274568723241,0.195242203821951,5.69280742416746
"MMD",0.988954417667363,5.49989349818844,0.165290572870088,6.48884791585581
"MMD",0.988954417667363,5.49989349818844,0.165290572870088,6.48884791585581
"MMD",0.988954417667363,5.49989349818844,0.165290572870088,6.48884791585581
"MMD",0.454576912159544,5.41499033294428,0.139147947548401,5.86956724510383
"MMD",0.454576912159544,5.41499033294428,0.139147947548401,5.86956724510383
"MMD",0.665965254510085,6.53029661850287,0.193832612963407,7.19626187301295
"MMD",0.64298880567855,5.12649287770672,0.16354205751991,5.76948168338527
"MMD",0.77676124894164,3.90779939795691,0.209218337626739,4.68456064689855
"MMD",0.454576912159544,5.41499033294428,0.139147947548401,5.86956724510383
"MMD",0.454576912159544,5.41499033294428,0.139147947548401,5.86956724510383
"MMD",0.454576912159544,5.41499033294428,0.139147947548401,5.86956724510383
"MMD",0.454576912159544,5.41499033294428,0.139147947548401,5.86956724510383
"MMD",0.454576912159544,5.41499033294428,0.139147947548401,5.86956724510383
"MMD",0.454576912159544,5.41499033294428,0.139147947548401,5.86956724510383
"MMD",0.454576912159544,5.41499033294428,0.139147947548401,5.86956724510383
"MMD",0.164344248942731,6.17364107009794,0.196966050688572,6.33798531904067
"MMD",0.454576912159544,5.41499033294428,0.139147947548401,5.86956724510383
"MMD",0.454576912159544,5.41499033294428,0.139147947548401,5.86956724510383
"MMD",0.454576912159544,5.41499033294428,0.139147947548401,5.86956724510383
"MMD",0.925944845060478,5.55570276757508,0.158137944210233,6.48164761263556
"MMD",0.855428782527007,4.90611571065678,0.179045178047919,5.76154449318379
"MMD",0.812884040121246,5.81526255080409,0.189946187101473,6.62814659092533
"MMD",0.278094189144868,7.13784596077574,0.207657639294425,7.41594014992061
"MMD",0.278094189144868,7.13784596077574,0.207657639294425,7.41594014992061
"MMD",0.512930313479113,5.15792505909558,0.192023801988961,5.67085537257469
"MMD",0.924231586694976,3.88697745479745,0.195067793066311,4.81120904149243
"MMD",0.664096488759715,5.04035607764637,0.168050994403462,5.70445256640609
"MMD",0.278094189144868,7.13784596077574,0.207657639294425,7.41594014992061
"MMD",0.915524485906982,5.2928206922125,0.199164701403423,6.20834517811948
"MMD",0.879775369495711,4.886878919344,0.1607470172336,5.76665428883971
"MMD",0.794876292196249,3.90265099348229,0.191159851019806,4.69752728567854
"MMD",0.54061998941061,5.41062461390258,0.170490565332981,5.95124460331319
"MMD",0.849718977545175,5.0642070174698,0.218208284377125,5.91392599501497
"MMD",0.707756180132767,5.83869404167377,0.168435614850633,6.54645022180653
"MMD",0.798000770976122,6.00163988134353,0.178333992534,6.79964065231965
"MMD",0.427578343814103,5.34469595098132,0.176045254588365,5.77227429479542
"MMD",0.854654245982245,4.54104086029026,0.219999181040163,5.39569510627251
"MMD",0.738644093745471,5.35151007056936,0.155910453697811,6.09015416431483
"MMD",0.910335242868378,3.91141346929672,0.18532522489294,4.8217487121651
"MMD",0.910335242868378,3.91141346929672,0.18532522489294,4.8217487121651
"MMD",0.265216467125116,6.68435437875722,0.175327478252674,6.94957084588233
"MMD",0.931495486645088,4.74307258162809,0.228125485001253,5.67456806827318
"MMD",0.931495486645088,4.74307258162809,0.228125485001253,5.67456806827318
"MMD",0.524934861535692,6.07583733842739,0.203982530968996,6.60077219996308
"MMD",0.160499828215541,7.12541870150323,0.188119611836897,7.28591852971877
"MMD",0.172796106569213,8.04200798718344,0.169953943907336,8.21480409375265
"MMD",0.172796106569213,8.04200798718344,0.169953943907336,8.21480409375265
"MMD",0.172796106569213,8.04200798718344,0.169953943907336,8.21480409375265
"MMD",0.530583054529103,4.7322971301343,0.222735686843902,5.2628801846634
"MMD",0.768275306123761,5.01466404654283,0.161568191302007,5.78293935266659
"MMD",0.801675673845858,4.82496708740159,0.216247917973733,5.62664276124745
"MMD",0.73057751914303,4.7617735576196,0.201536623491028,5.49235107676263
"MMD",0.667331006330129,4.41696969180042,0.198599167232972,5.08430069813055
"MMD",0.492113125667252,4.12968325199906,0.175076064053764,4.62179637766631
"MMD",0.713845232790726,6.32334661970408,0.152139079567467,7.03719185249481
"MMD",0.713845232790726,6.32334661970408,0.152139079567467,7.03719185249481
"MMD",0.713845232790726,6.32334661970408,0.152139079567467,7.03719185249481
"MMD",0.779516788094449,5.01363531837663,0.204281417437249,5.79315210647108
"MMD",0.814887993685827,3.676864066132,0.192079558967679,4.49175205981783
"MMD",0.550317539330887,6.93552069765958,0.16987836160296,7.48583823699047
"MMD",0.45880466624579,5.5490999364186,0.159233954214764,6.00790460266439
