"","A","B","g","k"
"1",5,5,5,5
"2",5,5,5,5
"3",4.75228498105854,4.85000027733995,5.37557273696697,4.70368205501314
"4",4.75228498105854,4.85000027733995,5.37557273696697,4.70368205501314
"5",4.31253004732096,5.3940931329561,5.78248963684382,4.5005810150129
"6",4.31253004732096,5.3940931329561,5.78248963684382,4.5005810150129
"7",4.31253004732096,5.3940931329561,5.78248963684382,4.5005810150129
"8",4.31253004732096,5.3940931329561,5.78248963684382,4.5005810150129
"9",4.31253004732096,5.3940931329561,5.78248963684382,4.5005810150129
"10",4.29422050964472,5.25861426723415,5.59987115558756,4.41566330042459
"11",4.23736606419044,5.1895713171608,5.72741340911237,4.09701071258112
"12",3.97055766655954,5.05884688924973,5.68987451725581,4.38440895359358
"13",3.97055766655954,5.05884688924973,5.68987451725581,4.38440895359358
"14",3.97055766655954,5.05884688924973,5.68987451725581,4.38440895359358
"15",3.2380696516836,4.72843202712918,5.72334225239233,4.8390281549839
"16",3.26995222625112,4.89602449892994,6.21327345705616,4.79998900267559
"17",3.26995222625112,4.89602449892994,6.21327345705616,4.79998900267559
"18",3.39499607510378,5.18553056754045,5.80115199104896,4.28368424192035
"19",3.39499607510378,5.18553056754045,5.80115199104896,4.28368424192035
"20",3.39499607510378,5.18553056754045,5.80115199104896,4.28368424192035
"21",3.6568641166773,4.90893280320164,5.96911117247443,3.33192684015614
"22",3.6568641166773,4.90893280320164,5.96911117247443,3.33192684015614
"23",3.6568641166773,4.90893280320164,5.96911117247443,3.33192684015614
"24",3.6568641166773,4.90893280320164,5.96911117247443,3.33192684015614
"25",3.13866391147319,4.39880169264541,5.83190188680362,2.74588942103173
"26",3.13866391147319,4.39880169264541,5.83190188680362,2.74588942103173
"27",3.20111222080692,4.2256366082531,6.05900451664072,2.87124982870387
"28",3.20111222080692,4.2256366082531,6.05900451664072,2.87124982870387
"29",3.20111222080692,4.2256366082531,6.05900451664072,2.87124982870387
"30",3.22262389368691,3.66083894489796,6.20696982260609,2.84754645067109
"31",3.22262389368691,3.66083894489796,6.20696982260609,2.84754645067109
"32",3.11304955498563,2.99151938250803,5.85179713862763,2.93030228382052
"33",3.21862556852837,3.04820215433618,5.5678305759882,2.68736499424417
"34",3.21862556852837,3.04820215433618,5.5678305759882,2.68736499424417
"35",3.21862556852837,3.04820215433618,5.5678305759882,2.68736499424417
"36",3.21862556852837,3.04820215433618,5.5678305759882,2.68736499424417
"37",3.16327265424382,2.81472978006655,5.52329990156549,2.78298425697347
"38",3.26396054529088,2.09852300442422,5.65928640498353,2.27970228336284
"39",3.26396054529088,2.09852300442422,5.65928640498353,2.27970228336284
"40",3.26396054529088,2.09852300442422,5.65928640498353,2.27970228336284
"41",3.26396054529088,2.09852300442422,5.65928640498353,2.27970228336284
"42",3.26396054529088,2.09852300442422,5.65928640498353,2.27970228336284
"43",3.26396054529088,2.09852300442422,5.65928640498353,2.27970228336284
"44",3.19681631006928,1.82225711291959,5.27398658651892,1.88062337480416
"45",3.04840698634149,1.72963347040568,5.472699693531,1.96779696007101
"46",3.04840698634149,1.72963347040568,5.472699693531,1.96779696007101
"47",3.04840698634149,1.72963347040568,5.472699693531,1.96779696007101
"48",3.04840698634149,1.72963347040568,5.472699693531,1.96779696007101
"49",2.85067173921086,1.29103427128127,5.68084621518177,2.09812751279839
"50",2.85067173921086,1.29103427128127,5.68084621518177,2.09812751279839
"51",2.69053517535849,1.04313355419838,5.66657829573284,2.02636681491978
"52",2.86169541623939,0.74822163213382,5.49606411617408,2.02904569501572
"53",2.66902764740417,0.499084528811794,5.49658993182314,2.19344861149793
"54",2.66902764740417,0.499084528811794,5.49658993182314,2.19344861149793
"55",2.66902764740417,0.499084528811794,5.49658993182314,2.19344861149793
"56",2.66902764740417,0.499084528811794,5.49658993182314,2.19344861149793
