"methods","samples.a","samples.b","samples.g","samples.k","samples"
"epsilon = 0.1  uniform",3.00582549534738,0.914626803714782,2.34214284457266,1.5836069220677,3.00582549534738
"epsilon = 0.1  uniform",3.23173189768568,0.968948346562684,4.76553630083799,0.819249753840268,3.23173189768568
"epsilon = 0.1  uniform",3.3891823515296,2.35091880662367,4.57459299825132,0.31249781139195,3.3891823515296
"epsilon = 0.1  uniform",3.37641680147499,0.415921735111624,4.07947043888271,1.79607794154435,3.37641680147499
"epsilon = 0.1  uniform",3.89026470249519,1.46164510864764,2.71404039580375,0.410499488934875,3.89026470249519
"epsilon = 0.1  uniform",2.78046196559444,0.523961938451976,2.06718785921112,1.25532648293301,2.78046196559444
"epsilon = 0.1  uniform",2.62036472326145,2.57374294567853,6.93028769223019,0.737459214869887,2.62036472326145
"epsilon = 0.1  uniform",3.76805936219171,1.71848554397002,1.00588806439191,0.100247550290078,3.76805936219171
"epsilon = 0.1  uniform",2.18727289466187,0.893612336367369,0.112496549263597,0.295671683270484,2.18727289466187
"epsilon = 0.1  uniform",3.08046083664522,0.229098848067224,2.43167803389952,2.0414373325184,3.08046083664522
"epsilon = 0.1  uniform",2.65816824743524,0.967000692617148,2.91732353623956,1.62060151575133,2.65816824743524
"epsilon = 0.1  uniform",2.31301044113934,0.433337108697742,1.8223023484461,0.270299511030316,2.31301044113934
"epsilon = 0.1  uniform",3.32258275942877,0.900758251082152,9.7229877114296,0.235719778575003,3.32258275942877
"epsilon = 0.1  uniform",2.94881596928462,1.05590168386698,9.10395097453147,0.717803083825856,2.94881596928462
"epsilon = 0.1  uniform",3.07893582386896,0.12460968689993,5.20616758149117,0.733802912291139,3.07893582386896
"epsilon = 0.1  uniform",2.69421637989581,1.3532262458466,2.68884993856773,0.296327162068337,2.69421637989581
"epsilon = 0.1  uniform",2.90009000804275,1.72092871041968,2.36015770351514,0.926534663885832,2.90009000804275
"epsilon = 0.1  uniform",3.6555390781723,1.12163453130051,9.54492495860904,0.750999895390123,3.6555390781723
"epsilon = 0.1  uniform",3.2903439947404,0.637419042177498,1.22828334802762,1.4704658719711,3.2903439947404
"epsilon = 0.1  uniform",2.69688988337293,0.83724400959909,2.04499547835439,1.53623108984903,2.69688988337293
"epsilon = 0.1  uniform",2.59751010220498,0.27471310691908,5.96937473863363,0.152000370435417,2.59751010220498
"epsilon = 0.1  uniform",3.39025513967499,1.58734555123374,1.96626196149737,1.00563121493906,3.39025513967499
"epsilon = 0.1  uniform",3.01135707180947,2.06244993489236,3.7733038677834,0.0142197031527758,3.01135707180947
"epsilon = 0.1  uniform",3.44338945113122,1.30318834679201,7.79628606745973,0.316387007478625,3.44338945113122
"epsilon = 0.1  uniform",2.58861628593877,0.652460758574307,2.2422236460261,1.60540472716093,2.58861628593877
"epsilon = 0.1  uniform",2.53193461801857,0.754713511560112,4.5054068393074,1.95398352574557,2.53193461801857
"epsilon = 0.1  uniform",3.28276169719175,0.747499337885529,0.752864037640393,1.03337599430233,3.28276169719175
"epsilon = 0.1  uniform",3.32212216919288,1.82281017303467,3.9466675138101,1.42419841373339,3.32212216919288
"epsilon = 0.1  uniform",2.52144227502868,0.0272481609135866,0.211941883899271,1.07568359002471,2.52144227502868
"epsilon = 0.1  uniform",3.20059279445559,2.46730065671727,4.09562764922157,0.279104565270245,3.20059279445559
"epsilon = 0.1  uniform",2.12549417279661,0.635796226561069,2.10841859458014,0.942063692491502,2.12549417279661
"epsilon = 0.1  uniform",2.87312038475648,1.56135893426836,7.2880331450142,0.19037697929889,2.87312038475648
"epsilon = 0.1  uniform",2.30553357396275,0.483226687647402,1.12958758603781,1.12255180021748,2.30553357396275
"epsilon = 0.1  uniform",2.86571971606463,1.50808191392571,2.57257714401931,1.15918836556375,2.86571971606463
"epsilon = 0.1  uniform",2.77770407730713,1.5391298965551,2.68675403669477,1.1587739456445,2.77770407730713
"epsilon = 0.1  uniform",3.55328147066757,1.46433121990412,0.93267519492656,0.66602298989892,3.55328147066757
"epsilon = 0.1  uniform",3.01216351799667,1.68861576355994,2.55934420740232,1.12839199602604,3.01216351799667
"epsilon = 0.1  uniform",3.42762838350609,0.91378784738481,9.66476807836443,1.02998814545572,3.42762838350609
"epsilon = 0.1  uniform",2.82280303305015,0.197174570057541,3.92728778766468,0.692955306731164,2.82280303305015
"epsilon = 0.1  uniform",2.91985825868323,1.65171493776143,6.50817627320066,1.06425139121711,2.91985825868323
"epsilon = 0.1  uniform",2.12571336887777,1.21669561136514,2.21073181601241,0.987659459933639,2.12571336887777
"epsilon = 0.1  uniform",3.12222561100498,2.01342592714354,3.86848233640194,1.06773458654061,3.12222561100498
"epsilon = 0.1  uniform",3.01573567092419,0.220653272699565,0.503111917059869,0.767728639766574,3.01573567092419
"epsilon = 0.1  uniform",3.34747318411246,0.971728705335408,7.12355352239683,1.07914976542816,3.34747318411246
"epsilon = 0.1  uniform",3.08304377598688,1.44654182251543,3.90752469887957,0.132873738184571,3.08304377598688
"epsilon = 0.1  uniform",3.19823566824198,1.29798183217645,6.01349237607792,1.02892743656412,3.19823566824198
"epsilon = 0.1  uniform",2.50593547476456,0.240718240384012,1.09795552212745,0.0317796552553773,2.50593547476456
"epsilon = 0.1  uniform",2.14897972065955,0.566952668596059,3.15885446267202,0.453848564065993,2.14897972065955
"epsilon = 0.1  uniform",3.05915559642017,2.07317146938294,6.73553278436884,0.173757860902697,3.05915559642017
"epsilon = 0.1  uniform",2.61952307308093,0.638684544246644,5.72236425476149,0.0121411634609103,2.61952307308093
"epsilon = 0.1  uniform",3.10617500217631,0.850351874250919,3.21974021149799,0.845849902834743,3.10617500217631
"epsilon = 0.1  uniform",3.12510624760762,0.260275765322149,4.18592330534011,2.46070641092956,3.12510624760762
"epsilon = 0.1  uniform",2.58746549021453,0.835922805126756,4.10951412748545,1.18357676547021,2.58746549021453
"epsilon = 0.1  uniform",2.88605827838182,1.41888770274818,2.14283548528329,0.317097704391927,2.88605827838182
"epsilon = 0.1  uniform",2.31330500915647,1.49582717334852,1.74983169184998,0.395321378018707,2.31330500915647
"epsilon = 0.1  uniform",2.45290239574388,0.974058141000569,8.56924358522519,1.01384640671313,2.45290239574388
"epsilon = 0.1  uniform",3.24584995396435,0.858872379176319,6.15470089251176,0.624889119062573,3.24584995396435
"epsilon = 0.1  uniform",3.54884992353618,2.42539720144123,8.66151750320569,0.0307444343343377,3.54884992353618
"epsilon = 0.1  uniform",2.79840663308278,1.86509398976341,7.24485033890232,0.252877611201257,2.79840663308278
"epsilon = 0.1  uniform",3.08111322578043,0.820287447422743,9.34351328527555,0.90846894076094,3.08111322578043
"epsilon = 0.1  uniform",3.55672326404601,2.17933480860665,3.53659031214193,0.393924710806459,3.55672326404601
"epsilon = 0.1  uniform",3.19490619003773,0.334742874838412,8.69428072823212,0.39911872940138,3.19490619003773
"epsilon = 0.1  uniform",2.83711666706949,0.686467562336475,0.610166722908616,1.07022586511448,2.83711666706949
"epsilon = 0.1  uniform",3.21018443675712,1.42179262591526,0.527267525903881,0.292387525551021,3.21018443675712
"epsilon = 0.1  uniform",3.66567887598649,1.00373419933021,1.57058720476925,0.648098764941096,3.66567887598649
"epsilon = 0.1  uniform",2.67952125519514,0.618648468516767,7.17951810685918,0.621876246295869,2.67952125519514
"epsilon = 0.1  uniform",3.27870399458334,0.470528127625585,4.90014237817377,0.278423039708287,3.27870399458334
"epsilon = 0.1  uniform",2.51566221471876,1.43155408557504,2.14391894871369,0.388676354195923,2.51566221471876
"epsilon = 0.1  uniform",3.00436054822057,0.233314272481948,1.41964950831607,1.21743774274364,3.00436054822057
"epsilon = 0.1  uniform",3.58589358860627,2.72143952315673,3.80683788564056,0.798070717137307,3.58589358860627
"epsilon = 0.1  uniform",3.20380983874202,0.426808185875416,2.65492389211431,1.66008254047483,3.20380983874202
"epsilon = 0.1  uniform",2.6803884934634,0.930217488203198,2.96834056964144,1.22370405588299,2.6803884934634
"epsilon = 0.1  uniform",2.73746759165078,0.29524372657761,1.96841697208583,2.04980331240222,2.73746759165078
"epsilon = 0.1  uniform",3.40288287261501,0.748892715200782,3.17231649532914,1.00745561532676,3.40288287261501
"epsilon = 0.1  uniform",3.67096722126007,1.20929146884009,3.46979256952181,1.81557215983048,3.67096722126007
"epsilon = 0.1  uniform",2.84775936277583,0.560037824325264,0.888542195316404,0.729052512906492,2.84775936277583
"epsilon = 0.1  uniform",2.72984309354797,1.81817644508556,7.90916875004768,0.00924128107726574,2.72984309354797
"epsilon = 0.1  uniform",2.22283281618729,0.943008945323527,2.41129994392395,1.41748123336583,2.22283281618729
"epsilon = 0.1  uniform",2.83648115117103,0.132032546680421,4.93528353981674,0.916292276233435,2.83648115117103
"epsilon = 0.1  uniform",3.36576009634882,1.53026345418766,6.35894568171352,0.407772492617369,3.36576009634882
"epsilon = 0.1  uniform",3.75949255656451,1.45470977993682,3.42475675279275,1.02864131331444,3.75949255656451
"epsilon = 0.1  uniform",2.4155112891458,1.64616172900423,3.35022719344124,1.18797604227439,2.4155112891458
"epsilon = 0.1  uniform",2.51853381516412,0.910400641150773,8.06562926620245,0.621018565725535,2.51853381516412
"epsilon = 0.1  uniform",2.71663890220225,1.90212785033509,3.05225450079888,0.503383278846741,2.71663890220225
"epsilon = 0.1  uniform",2.36094814958051,0.79674290958792,2.0331623707898,0.98491488955915,2.36094814958051
"epsilon = 0.1  uniform",3.11662260442972,0.924901096150279,2.7010908909142,1.22709599323571,3.11662260442972
"epsilon = 0.1  uniform",2.57284551393241,0.6969662476331,0.321268818806857,0.414935476146638,2.57284551393241
"epsilon = 0.1  uniform",3.4385386435315,0.48581728246063,0.616782202851027,1.77888781763613,3.4385386435315
"epsilon = 0.1  uniform",3.31714159576222,0.733121633529663,1.96280807489529,1.02089521475136,3.31714159576222
"epsilon = 0.1  uniform",2.06093151355162,1.10002186847851,4.3266114871949,1.08762475661933,2.06093151355162
"epsilon = 0.1  uniform",2.33272479381412,0.698335021734238,1.14396217046306,0.720412929076701,2.33272479381412
"epsilon = 0.1  uniform",2.92040110798553,0.353219339158386,4.97101850574836,1.58456577686593,2.92040110798553
"epsilon = 0.1  uniform",3.0257707927376,1.1539287539199,5.18380970926955,0.646578520536423,3.0257707927376
"epsilon = 0.1  uniform",2.21217339159921,0.589167468715459,2.17970571713522,1.26813707873225,2.21217339159921
"epsilon = 0.1  uniform",3.0636569368653,0.148336773272604,0.805993161629885,1.14559238310903,3.0636569368653
"epsilon = 0.1  uniform",2.52744006225839,1.69125857762992,3.16950685577467,0.131275618914515,2.52744006225839
"epsilon = 0.1  uniform",2.80353395268321,0.570784427691251,1.12716596340761,1.16569005185738,2.80353395268321
"epsilon = 0.1  uniform",3.64533914951608,0.716818219516426,5.80581360030919,0.958269604016095,3.64533914951608
"epsilon = 0.1  uniform",3.13067014794797,1.12102535553277,2.04869259381667,1.62151664495468,3.13067014794797
"epsilon = 0.1  uniform",2.29381492827088,1.3138015801087,8.26001894427463,0.229721101932228,2.29381492827088
"epsilon = 0.1  uniform",3.26395478565246,2.25274686235934,7.18805296579376,0.777912286575884,3.26395478565246
"epsilon = 0.1  uniform",3.64477879367769,0.958052976056933,8.56990325031802,1.59728970145807,3.64477879367769
"epsilon = 0.1  uniform",3.148178094998,0.515404851175845,1.31720662582666,0.516648425254971,3.148178094998
"epsilon = 0.1  uniform",2.50364248640835,2.17204807326198,9.71768874907866,0.162789828609675,2.50364248640835
"epsilon = 0.1  uniform",3.35414492059499,0.248085046187043,2.13298807386309,1.52183364378288,3.35414492059499
"epsilon = 0.1  uniform",2.22087072907016,0.94525013351813,9.75214341888204,0.706431921571493,2.22087072907016
"epsilon = 0.1  uniform",3.38564359815791,0.526538754347712,1.80433220462874,1.44047071458772,3.38564359815791
"epsilon = 0.1  uniform",2.84021171741188,0.390604743734002,1.03796680225059,0.3667176165618,2.84021171741188
"epsilon = 0.1  uniform",2.90766087826341,0.467047644779086,4.83874569879845,0.0225966493599117,2.90766087826341
"epsilon = 0.1  uniform",3.29973640153185,0.967077210079879,1.65691285394132,1.45805615698919,3.29973640153185
"epsilon = 0.1  uniform",2.24528653779998,0.948115191422403,2.1937873470597,0.272984704934061,2.24528653779998
"epsilon = 0.1  uniform",2.83975090831518,0.544438622891903,7.72346012061462,1.33100457489491,2.83975090831518
"epsilon = 0.1  uniform",3.05781159782782,0.314836723264307,2.3523655673489,1.36289161629975,3.05781159782782
"epsilon = 0.1  uniform",2.31771439546719,0.423958285246044,0.135296252556145,0.0402370980009437,2.31771439546719
"epsilon = 0.1  uniform",3.32809783751145,1.85719031142071,4.00845975847915,0.539107273798436,3.32809783751145
"epsilon = 0.1  uniform",3.36970766540617,1.01345974951982,2.04767918679863,0.754082635976374,3.36970766540617
"epsilon = 0.1  uniform",2.95237251091748,2.53326352918521,4.09347277833149,0.015540097374469,2.95237251091748
"epsilon = 0.1  uniform",2.91990826604888,0.335319917649031,7.3407081165351,0.501456020865589,2.91990826604888
"epsilon = 0.1  uniform",2.45961522450671,1.2213082658127,7.27273529395461,0.302900157403201,2.45961522450671
"epsilon = 0.1  uniform",2.63463305076584,0.540032288990915,7.76784193469211,1.64667407050729,2.63463305076584
"epsilon = 0.1  uniform",2.05355220474303,0.623827909585088,0.200706436298788,0.716633999254555,2.05355220474303
"epsilon = 0.1  uniform",2.91609510779381,1.78776572691277,9.97214040718973,0.716195169370621,2.91609510779381
"epsilon = 0.1  uniform",4.02988348156214,1.00863571278751,1.14907299634069,0.981544635724276,4.02988348156214
"epsilon = 0.1  uniform",3.47086272668093,1.45913877757266,2.75870510842651,0.665245279669762,3.47086272668093
"epsilon = 0.1  uniform",2.36289793625474,1.17939763236791,2.768846496474,1.67396336095408,2.36289793625474
"epsilon = 0.1  uniform",3.5894306236878,2.12169256759807,2.05113069387153,0.459558120928705,3.5894306236878
"epsilon = 0.1  uniform",2.72251390852034,2.68176276702434,9.2446884419769,0.112453994806856,2.72251390852034
"epsilon = 0.1  uniform",2.62074987171218,0.666393933352083,3.12092115171254,0.411116222385317,2.62074987171218
"epsilon = 0.1  uniform",2.87829004926607,1.27441507996991,3.82801256841049,0.640698168426752,2.87829004926607
"epsilon = 0.1  uniform",3.31089746206999,1.3960340549238,6.31701363483444,0.128272701986134,3.31089746206999
"epsilon = 0.1  uniform",2.57840859238058,2.35807426273823,2.64026487711817,0.162554227281362,2.57840859238058
"epsilon = 0.1  uniform",3.53197711752728,1.96794184623286,6.10766876721755,0.789685850031674,3.53197711752728
"epsilon = 0.1  uniform",3.81985001964495,0.961144806351513,3.52221552748233,0.845877202227712,3.81985001964495
"epsilon = 0.1  uniform",3.42429308919236,0.851331402081996,3.99645243305713,0.645769054535776,3.42429308919236
"epsilon = 0.1  uniform",3.62518710549921,0.356659539975226,0.127435128670186,0.880436752922833,3.62518710549921
"epsilon = 0.1  uniform",2.46639092452824,1.17869032314047,1.29224034724757,0.153506300412118,2.46639092452824
"epsilon = 0.1  uniform",3.13459725817665,1.1386483698152,9.77426938479766,1.12729979213327,3.13459725817665
"epsilon = 0.1  uniform",2.64374680118635,0.946753178723156,0.32281314721331,0.751118329353631,2.64374680118635
"epsilon = 0.1  uniform",3.04038957692683,1.10641197301447,3.6163264606148,1.08421533601359,3.04038957692683
"epsilon = 0.1  uniform",2.68324307631701,0.177112037781626,3.24984862236306,1.18035534163937,2.68324307631701
"epsilon = 0.1  uniform",3.16689160186797,2.78150004567578,4.57049865042791,0.395075706765056,3.16689160186797
"epsilon = 0.1  uniform",2.86688214400783,1.01635976228863,9.19195229653269,1.33074963465333,2.86688214400783
"epsilon = 0.1  uniform",2.5126025499776,2.12160195689648,3.47972294082865,0.145129736047238,2.5126025499776
"epsilon = 0.1  uniform",3.34233691683039,0.830812656786293,9.63807386346161,0.955187743529677,3.34233691683039
"epsilon = 0.1  uniform",2.69392508780584,0.406519318930805,4.30583827430382,1.64932606974617,2.69392508780584
"epsilon = 0.1  uniform",3.08430938050151,1.7824965598993,6.17163588060066,0.587013992480934,3.08430938050151
"epsilon = 0.1  uniform",3.08409094111994,1.82308840565383,1.19169530691579,0.273117094766349,3.08409094111994
"epsilon = 0.1  uniform",3.59887796221301,2.15504079125822,3.2495421753265,0.575130498036742,3.59887796221301
"epsilon = 0.1  uniform",2.89860398275778,1.46333221113309,8.16420304123312,1.35434136260301,2.89860398275778
"epsilon = 0.1  uniform",3.45972131472081,0.35303404321894,1.59059729427099,0.781422262080014,3.45972131472081
"epsilon = 0.1  uniform",2.87598961265758,0.424839062616229,0.601551590953022,0.0820430787280202,2.87598961265758
"epsilon = 0.1  uniform",3.37106845341623,0.922888480126858,0.68913847906515,0.972602334804833,3.37106845341623
"epsilon = 0.1  uniform",2.57937103277072,0.575597397983074,9.75552226416767,0.079880200792104,2.57937103277072
"epsilon = 0.1  uniform",2.20491141779348,0.35695890430361,0.896434753667563,0.960688982158899,2.20491141779348
"epsilon = 0.1  uniform",3.01690604770556,0.915895893704146,9.73449437413365,0.985866205301136,3.01690604770556
"epsilon = 0.1  uniform",3.77844681730494,1.28820196725428,1.90476519521326,0.688601839356124,3.77844681730494
"epsilon = 0.1  uniform",3.38416272541508,3.31762366462499,3.47382577834651,0.609043585136533,3.38416272541508
"epsilon = 0.1  uniform",2.4611362372525,1.7126828012988,3.43449713196605,0.918439407832921,2.4611362372525
"epsilon = 0.1  uniform",2.88348972331733,0.661120917648077,0.0347785721533,1.89657910261303,2.88348972331733
"epsilon = 0.1  uniform",3.36459910962731,1.94293866865337,5.23796041263267,0.305538205429912,3.36459910962731
"epsilon = 0.1  uniform",3.17787307081744,1.12973953597248,2.16241557151079,0.460376725532115,3.17787307081744
"epsilon = 0.1  uniform",3.33279182435945,0.84105390124023,2.29072139365599,1.22600828297436,3.33279182435945
"epsilon = 0.1  uniform",3.577527301386,0.324433888308704,0.540182508993894,0.761034961324185,3.577527301386
"epsilon = 0.1  uniform",3.34955705562606,2.28010194841772,1.36816629674286,0.442942266818136,3.34955705562606
"epsilon = 0.1  uniform",3.04348233155906,2.27745128562674,7.69583540735766,0.243225113954395,3.04348233155906
"epsilon = 0.1  uniform",2.77338257990777,2.55466255592182,6.18881944334134,0.949598310980946,2.77338257990777
"epsilon = 0.1  uniform",2.83011673251167,0.453405887819827,3.28304952476174,1.21874702628702,2.83011673251167
"epsilon = 0.1  uniform",2.76639204239473,1.42307965550572,6.06487164041027,0.249797981232405,2.76639204239473
"epsilon = 0.1  uniform",3.6005147988908,1.40779990004376,2.09267017897218,0.71920070797205,3.6005147988908
"epsilon = 0.1  uniform",2.94307188363746,0.258653026539832,2.99030726309866,1.1228097951971,2.94307188363746
"epsilon = 0.1  uniform",3.48276337608695,1.1456854804419,3.23446580208838,0.224799152929336,3.48276337608695
"epsilon = 0.1  uniform",3.36083208210766,0.359184357803315,6.74243283225223,0.445401549804956,3.36083208210766
"epsilon = 0.1  uniform",2.50945024192333,0.204375043977052,3.3250269619748,0.672110323794186,2.50945024192333
"epsilon = 0.1  uniform",3.57296640286222,1.15806313697249,1.17131817620248,0.500760264694691,3.57296640286222
